카테고리,메뉴,설명,가격,이미지 링크
올데이 세트,바질치킨 랩 세트,"바질치킨 랩 + 카사바칩 + 코크제로
또띠아 속 향긋한 바질페스토와 부드러운 시즈닝 닭가슴살이 어우러진 랩 샌드위치 (포함 드레싱: 시저)",10400,https://naverbooking-phinf.pstatic.net/20260204_100/1770191180877NFBz3_PNG/%C5%B0%BF%C0%BD%BA%C5%A9_%BF%C3%B5%A5%C0%CC_%B7%A6_%B9%D9%C1%FA%C4%A1%C5%B2.png?type=f220_220_60_sharpen
올데이 세트,타코 쉬림프 랩 세트,"타코 쉬림프 랩 세트 + 카사바칩 + 코크제로
또띠아 속 매콤한 케이준 쉬림프에 알싸한 양파와 할라피뇨, 바삭한 나쵸칩과 상큼한 사워크림이 어우러진 타코 스타일의 쉬림프 랩(포함 드레싱: 허니머스타드) / 케이준 쉬림프, 양파, 할라피뇨, 토마토, 나쵸칩, 사워크림, 채소믹스 + 카사바칩 + 코크제로",11700,https://naverbooking-phinf.pstatic.net/20260204_102/1770189502251XogWJ_PNG/%C5%B0%BF%C0%BD%BA%C5%A9_%BF%C3%B5%A5%C0%CC_%B7%A6_%C5%B8%C4%DA%BD%AC%B8%B2%C7%C1.png?type=f220_220_60_sharpen
올데이 세트,그라브락스 연어 랩 세트,"그라브락스 연어 랩 + 카사바칩 + 코크제로
북유럽 전통 방식으로 숙성시켜 풍미와 쫄깃함이 가득한 그라브락스 연어와 양파 등 토핑과 산뜻한 크리미할라피뇨 드레싱이 어우러진 랩 샌드위치 (포함 드레싱: 크리미할라피뇨) / 그라브락스 연어, 양파, 토마토, 채소믹스",11700,https://naverbooking-phinf.pstatic.net/20260204_171/1770189113721dprgF_PNG/%C5%B0%BF%C0%BD%BA%C5%A9_%BF%C3%B5%A5%C0%CC_%B7%A6_%B1%D7%B6%F3%BA%EA%B6%F4%BD%BA%BF%AC%BE%EE.png?type=f220_220_60_sharpen
올데이 세트,로스트닭다리살 랩 세트,"로스트닭다리살 랩 세트 + 카사바칩 + 코크제로
또띠아 속 촉촉하고 쫄깃한 닭다리살과 토마토, 할라피뇨, 사워크림 토핑이 어우러져 치킨 케밥 스타일 완성된 중독성 강한 랩 샌드위치 (포함 드레싱: 크리미할라피뇨) / 로스트닭다리살, 양파, 할라피뇨, 토마토, 사워크림, 채소믹스 + 카사바칩 + 코크제로",11400,https://naverbooking-phinf.pstatic.net/20260204_200/1770189439931wxNEH_PNG/%C5%B0%BF%C0%BD%BA%C5%A9_%BF%C3%B5%A5%C0%CC_%B7%A6_%B7%CE%BD%BA%C6%AE%B4%DF%B4%D9%B8%AE%BB%EC.png?type=f220_220_60_sharpen
올데이 세트,바질크림 잠봉 랩 세트,"바질크림 잠봉 랩 + 카사바칩 + 코크제로
또띠아 속 풍미 가득한 바질크림에 담백한 잠봉과 양파, 당근라페 토핑이 어우러진 프로틴 랩 샌드위치 (포함 드레싱: 바질페스토)",10700,https://naverbooking-phinf.pstatic.net/20260727_173/1785110692799EkgBe_PNG/image.png?type=f220_220_60_sharpen
올데이 세트,칠리베이컨 곡물랩 세트,"칠리베이컨 곡물랩 + 카사바칩 + 코크제로
또띠아 속 베이컨, 에그, 옥수수의 고소하고 톡톡 터지는 식감과 매콤달콤한 소스 조합이 입맛을 돋우고, 통곡물이 만나 더욱 든든하게 즐기는 랩 샌드위치 (포함 드레싱: 크리미칠리) / 에그, 베이컨, 옥수수, 양파플레이크, 채소믹스, 곡물밥",9900,https://naverbooking-phinf.pstatic.net/20260204_177/1770189566821x22UK_PNG/%C5%B0%BF%C0%BD%BA%C5%A9_%BF%C3%B5%A5%C0%CC_%B7%A6_%C4%A5%B8%AE%BA%A3%C0%CC%C4%C1.png?type=f220_220_60_sharpen
올데이 세트,고소우삼겹 곡물랩 세트,"고소우삼겹 곡물랩 + 카사바칩 + 코크제로
또띠아 속 감칠맛과 풍미 가득한 저당 들기름소이 소스로 양념한 우삼겹과 견과류로 한 층 더 고소함을 살리고, 통곡물이 만나 더욱 든든하게 즐기는 랩 샌드위치 (포함 드레싱: (저당) 들기름소이) / 우삼겹, 양파, 견과류, 적채, 채소믹스, 곡물밥",10900,https://naverbooking-phinf.pstatic.net/20260204_287/1770189625764DyYJe_PNG/%C5%B0%BF%C0%BD%BA%C5%A9_%BF%C3%B5%A5%C0%CC_%B7%A6_%B0%ED%BC%D2%BF%EC%BB%EF%B0%E3.png?type=f220_220_60_sharpen
올데이 세트,바베큐닭다리살 곡물랩 세트,"바베큐닭다리살 곡물랩 + 카사바칩 + 코크제로
또띠아 속 촉촉하고 쫄깃한 닭다리살, 매콤달콤 바베큐소스로 중독성 강한 조합에, 통곡물이 만나 더욱 든든하게 즐기는 랩 샌드위치(포함 드레싱: 크리미할라피뇨) / 로스트닭다리살, 적채, 옥수수, 슈레드치즈, 토마토, 바베큐소스, 채소믹스, 곡물밥",10900,https://naverbooking-phinf.pstatic.net/20260204_198/1770191106867kRJ5F_PNG/%C5%B0%BF%C0%BD%BA%C5%A9_%BF%C3%B5%A5%C0%CC_%B7%A6_%B9%D9%BA%A3%C5%A5%B4%DF%B4%D9%B8%AE%BB%EC%B0%EE%B9%B0%B7%A6.png?type=f220_220_60_sharpen
샌드위치,[프로틴] 비프에그마요 샌드위치,"쫄깃한 통밀 치아바타 속 단짠 우삼겹과 고소하고 부드러운 에그마요가 어우러진 우삼겹 프로틴 치아바타 샌드위치 (포함 드레싱: 허니머스타드) / 우삼겹, 슈레드치즈, 에그마요, 옥수수, 당근라페, 화이트치즈 (*채소믹스 미포함), 통밀 치아바타",7600,https://naverbooking-phinf.pstatic.net/20260727_98/1785109861886qSKKl_PNG/image.png?type=f220_220_60_sharpen
샌드위치,[프로틴] 프레시 잠봉 샌드위치,"쫄깃한 통밀 치아바타 속 신선한 잠봉과 토마토에 더블 치즈 풍미가 가득한 잠봉 프로틴 치아바타 샌드위치  (포함 드레싱: 크리미할라피뇨) / 잠봉, 양파, 토마토, 슈레드치즈, 화이트치즈, 채소믹스",8900,https://naverbooking-phinf.pstatic.net/20260727_151/1785109832683X48cg_PNG/image.png?type=f220_220_60_sharpen
샌드위치,[프로틴] 바질크림 치킨 샌드위치,쫄깃한 통밀 치아바타 속 풍미 가득한 바질크림과 촉촉한 시즈닝 닭가슴살이 어우러져 든든한 치킨 프로틴 치아바타 샌드위치 (포함 드레싱: 바질페스토),7900,https://naverbooking-phinf.pstatic.net/20260727_224/1785109759135Qh2Wp_PNG/image.png?type=f220_220_60_sharpen
샌드위치,[프로틴] 치킨 반미 샌드위치,"쫄깃한 통밀 치아바타 속 촉촉한 시즈닝 닭가슴살과 상큼하고 아삭한 당근라페, 적채, 양파가 어우러진 반미 스타일의 치킨 프로틴 치아바타 샌드위치 (포함 드레싱: 크리미칠리)",7600,https://naverbooking-phinf.pstatic.net/20260727_117/1785109778193bCGIf_PNG/image.png?type=f220_220_60_sharpen
샌드위치,[프로틴] 바질 레몬연어 샌드위치,쫄깃한 통밀 치아바타 속 바질 풍미가 가득한 연어와 달콤한 스윗포테이토가 어우러진 연어 프로틴 치아바타 샌드위치 (포함 드레싱: 바질페스토),9700,https://naverbooking-phinf.pstatic.net/20260727_26/1785109797297xtgUe_PNG/image.png?type=f220_220_60_sharpen
샌드위치,클래식 치킨 샌드위치,"쫄깃한 통밀 치아바타 속 부드러운 시즈닝 닭가슴살과 상큼한 크랜베리, 치즈의 풍미가 어우러진 치아바타 샌드위치 (포함 드레싱: 시저) / 시즈닝 닭가슴살, 크랜베리, 토마토, 화이트치즈, 채소믹스, 통밀 치아바타",6500,https://naverbooking-phinf.pstatic.net/20260727_280/1785109732756xIt1u_PNG/image.png?type=f220_220_60_sharpen
샌드위치,불고기 반미 샌드위치,"쫄깃한 치아바타 속 단짠 불고기와 상큼하고 아삭한 당근라페, 적채, 양파가 어우러진 반미 스타일의 치아바타 샌드위치 (포함 드레싱: 크리미칠리) / 우삼겹, 양파, 적채, 당근라페, 화이트치즈, 채소믹스",7900,https://naverbooking-phinf.pstatic.net/20260511_216/1778488246681Gwq5h_PNG/image.png?type=f220_220_60_sharpen
샌드위치,스파이시 쉬림프 샌드위치,"쫄깃한 치아바타 속 탱글탱글한 케이준 쉬림프와 알싸한 할라피뇨에 매콤달콤한 크리미칠리 드레싱이 어우러진 스파이시 쉬림프 치아바타 샌드위치 (포함 드레싱: 크리미칠리) / 케이준 쉬림프, 할라피뇨, 토마토, 슈레드치즈, 화이트치즈, 채소믹스",9500,https://naverbooking-phinf.pstatic.net/20260511_78/17784883019520IxtH_PNG/image.png?type=f220_220_60_sharpen
샐러디,탄단지 샐러디,"부드러운 시즈닝 닭가슴살, 고구마 무스, 견과류, 크랜베리가 들어간 탄단지가 골고루 들어있는 샐러디 스테디 메뉴 (추천 드레싱: 오리엔탈) / 시즈닝 닭가슴살, 스윗포테이토, 견과류, 크랜베리, 채소믹스",8600,https://naverbooking-phinf.pstatic.net/20260727_250/1785110040366ayUAf_PNG/image.png?type=f220_220_60_sharpen
