적용범위,구분,메뉴명,제공량(g),열량(Kcal),탄수화물(g),당류(g),단백질(g),지방(g),포화지방(g),나트륨(mg)
SALADY & SANDWICH (대상매장),PROTEIN BOX,우삼겹MAX 프로틴박스,419,900.7,87.6,11.5,39.4,43.7,16.3,565.4
SALADY & SANDWICH (대상매장),PROTEIN BOX,치킨MAX 프로틴파스타,464,707.9,66.2,6.1,55.1,23.7,6.0,697.0
SALADY & SANDWICH (대상매장),PROTEIN BOX,(베이스) 파스타면,200,298.6,53.8,0.0,9.0,5.3,0.7,0.0
SALADY & SANDWICH (대상매장),PROTEIN BOX,(베이스) 곡물밥,195,386.3,73.2,0.0,10.6,5.7,0.9,4.6
SALADY & SANDWICH (대상매장),PROMOTION MENU,[우창윤픽] 포만호르몬에그샐러디,296,391.9,10.0,3.5,23.3,28.0,6.5,669.3
SALADY & SANDWICH (대상매장),PROMOTION MENU,[우창윤픽] 포만호르몬에그,131,250.4,3.6,2.1,13.8,19.3,4.4,320.0
SALADY & SANDWICH (대상매장),PROMOTION MENU,엑스트라버진올리브오일,10,90.0,0.0,0.0,0.0,10.0,1.5,0.0
SALADY & SANDWICH (대상매장),PROMOTION MENU,[고창] 리얼수박주스,240,84.0,19.0,19.0,1.0,0.0,0.0,0.0
SALADY & SANDWICH (대상매장),WRAP,에그마요랩,225,661.6,49.7,5.3,19.4,42.8,9.8,1054.3
SALADY & SANDWICH (대상매장),WRAP,멕시칸랩,234,607.4,52.5,10.9,19.4,35.1,9.9,931.2
SALADY & SANDWICH (대상매장),WRAP,시저치킨랩,229,500.9,46.2,12.4,21.8,25.7,6.3,877.4
SALADY & SANDWICH (대상매장),WRAP,로스트닭다리살랩,294,549.6,46.3,10.3,19.8,31.9,9.2,1206.3
SALADY & SANDWICH (대상매장),WRAP,타코쉬림프랩,289,501.1,59.4,15.5,15.4,22.4,6.0,1123.1
SALADY & SANDWICH (대상매장),WRAP,그라브락스연어랩,244,475.4,40.0,8.9,17.6,27.6,6.1,1014.2
SALADY & SANDWICH (대상매장),WRAP,칠리베이컨곡물랩,305,730.4,75.5,12.9,21.5,37.6,10.9,1067.1
SALADY & SANDWICH (대상매장),WRAP,고소우삼겹곡물랩,305,704.7,79.1,6.5,24.0,32.5,9.3,1089.8
SALADY & SANDWICH (대상매장),SANDWICH,멜팅치즈치킨샌드위치,250,699.6,52.7,5.6,37.4,36.9,14.4,1154.9
SALADY & SANDWICH (대상매장),SANDWICH,불고기반미샌드위치,254,578.7,61.3,14.1,18.7,28.9,8.1,899.0
SALADY & SANDWICH (대상매장),SANDWICH,바질레몬연어샌드위치,289,574.4,70.7,16.9,20.6,22.6,4.0,1021.5
SALADY & SANDWICH (대상매장),SANDWICH,멜팅치즈핫쉬림프샌드위치,240,595.0,54.4,8.1,26.4,29.6,11.6,1346.7
SALADY & SANDWICH (대상매장),SANDWICH,클래식치킨샌드위치,214,469.0,60.8,13.3,17.3,17.8,3.4,733.8
SALADY & SANDWICH (대상매장),SANDWICH,하와이안잠봉샌드위치,254,539.4,72.7,23.7,19.0,18.8,5.8,1015.3
SALADY & SANDWICH (대상매장),SANDWICH,비프에그마요샌드위치,275,712.6,64.9,15.1,25.5,38.6,11.2,1047.3
SALADY & SANDWICH (대상매장),SANDWICH,바질카프레제샌드위치,209,496.8,51.8,6.6,18.0,23.4,8.5,817.9
SALADY & SANDWICH (대상매장),SANDWICH,프레시잠봉샌드위치,241,491.2,53.9,8.4,19.8,21.6,5.2,1133.9
SALADY & SANDWICH (대상매장),SANDWICH,더블에그마요샌드위치,290,707.0,60.3,9.3,21.1,42.3,9.0,1187.0
SALADY & SANDWICH (대상매장),SANDWICH,이탈리안피자샌드위치,245,608.6,58.0,9.4,21.9,31.8,9.9,1266.8
SALADY & SANDWICH (대상매장),SANDWICH,BELT 시저샌드위치,254,570.3,52.5,6.3,21.6,29.7,8.2,874.4
SALADY & SANDWICH (대상매장),SANDWICH,스파이시쉬림프샌드위치,254,463.7,55.4,8.7,18.4,18.5,4.4,1176.4
SALADY & SANDWICH (대상매장),ON BREAD,치즈스크램블온브레드,135,338.1,32.9,5.3,11.2,17.5,4.5,649.3
SALADY & SANDWICH (대상매장),ON BREAD,베이컨스크램블온브레드,155,404.3,33.6,5.7,14.1,23.3,6.6,754.8
SALADY & SANDWICH (대상매장),SIDE,양송이크림스프,200,150.0,12.0,4.0,3.0,10.0,7.0,561.0
SALADY & SANDWICH (대상매장),SIDE,단호박크림스프,200,218.8,21.3,15.0,2.5,13.8,10.0,325.0
SALADY & SANDWICH (대상매장),SIDE,포테이토크림스프,200,210.0,18.0,9.0,7.0,12.0,12.0,600.0
SALADY & SANDWICH (대상매장),SIDE,치킨토마토스튜,200,124.0,12.6,9.6,14.0,1.8,0.4,713.2
SALADY & SANDWICH (대상매장),SIDE,카사바칩,50,244.5,35.5,0.5,1.5,10.5,4.5,71.5
SALADY & SANDWICH (대상매장),DRESSING,오리엔탈,50,160.0,8.0,7.0,1.0,14.0,2.2,280.0
SALADY & SANDWICH (대상매장),DRESSING,(저당) 랜치,50,137.3,9.7,1.4,1.1,11.9,2.6,463.3
SALADY & SANDWICH (대상매장),DRESSING,크리미칠리,50,235.0,14.0,11.0,0.0,20.0,3.2,410.0
SALADY & SANDWICH (대상매장),DRESSING,크리미할라피뇨,50,235.0,7.0,7.0,1.0,23.0,3.6,320.0
SALADY & SANDWICH (대상매장),DRESSING,(저당) 레몬허브,50,4.1,8.4,0.5,0.2,0.1,0.1,360.0
SALADY & SANDWICH (대상매장),DRESSING,(저당) 참깨소이,50,110.0,6.0,0.1,1.0,11.0,1.8,410.0
SALADY & SANDWICH (대상매장),DRESSING,(저당) 스리라차소이,50,58.2,13.6,2.1,0.8,0.0,0.0,562.5
SALADY & SANDWICH (대상매장),DRINK,아메리카노,290,22.5,2.4,0.0,1.8,0.5,0.0,24.3
SALADY & SANDWICH (대상매장),DRINK,그린밀싹,240,120.0,28.0,22.0,1.0,0.0,0.0,39.0
SALADY & SANDWICH (대상매장),DRINK,오렌지당근,240,113.0,27.0,23.0,1.0,0.0,0.0,43.0
SALADY & SANDWICH (대상매장),DRINK,레드클렌즈,240,120.0,29.0,24.0,1.2,0.0,0.0,43.0
SALADY & SANDWICH (대상매장),DRINK,코크제로,355,0.0,0.0,0.0,0.0,0.0,0.0,22.0
SALADY & SANDWICH (대상매장),DRINK,스프라이트제로,355,0.0,0.0,0.0,0.0,0.0,0.0,11.0
SALADY & SANDWICH (대상매장),DRINK,애사비사과스파클링,350,8.0,9.0,0.0,0.0,0.0,0.0,25.0
SALADY & SANDWICH (대상매장),PROTEIN,닭가슴살,50,64.3,2.0,0.0,13.1,0.4,0.4,118.8
SALADY & SANDWICH (대상매장),PROTEIN,그라브락스연어,60,99.1,1.4,0.4,12.8,4.7,0.5,346.6
SALADY & SANDWICH (대상매장),PROTEIN,로스트닭다리살,60,113.8,6.0,1.3,10.5,5.3,2.1,272.5
SALADY & SANDWICH (대상매장),PROTEIN,그라운드비프,40,108.0,0.0,0.0,10.2,7.2,2.9,38.4
SALADY & SANDWICH (대상매장),PROTEIN,우삼겹,50,161.1,3.0,2.5,9.3,12.4,5.1,165.6
SALADY & SANDWICH (대상매장),PROTEIN,베이컨,20,66.3,0.7,0.4,3.0,5.7,2.1,105.6
SALADY & SANDWICH (대상매장),PROTEIN,로스트삼겹,50,187.4,3.2,0.4,9.0,15.4,4.8,116.2
SALADY & SANDWICH (대상매장),PROTEIN,에그,50,72.5,0.7,0.1,6.7,4.3,1.4,64.0
SALADY & SANDWICH (대상매장),PROTEIN,잠봉슬라이스,25,34.4,0.6,0.3,4.7,1.4,0.4,250.0
SALADY & SANDWICH (대상매장),PROTEIN,케이준쉬림프,60,36.9,0.1,0.1,8.3,0.6,0.0,332.5
SALADY & SANDWICH (대상매장),PROTEIN,스크램블에그,50,115.0,5.5,1.0,4.0,8.5,1.4,260.0
SALADY & SANDWICH (대상매장),PROTEIN,두부,80,100.0,8.0,1.2,4.2,5.7,0.7,12.8
SALADY & SANDWICH (대상매장),VEGGIES,올리브,30,31.5,1.8,0.0,0.3,2.9,0.4,264.0
SALADY & SANDWICH (대상매장),VEGGIES,할라피뇨,40,6.7,1.3,0.0,0.0,0.0,0.0,293.2
SALADY & SANDWICH (대상매장),VEGGIES,머쉬룸,60,59.1,3.3,0.4,1.5,5.6,0.9,1.1
SALADY & SANDWICH (대상매장),VEGGIES,옥수수,30,19.5,3.6,2.1,0.6,0.3,0.0,78.0
SALADY & SANDWICH (대상매장),VEGGIES,양파,30,8.7,2.0,1.7,0.3,0.0,0.0,0.9
SALADY & SANDWICH (대상매장),VEGGIES,토마토,40,7.6,1.7,0.9,0.4,0.1,0.0,0.8
SALADY & SANDWICH (대상매장),VEGGIES,드라이토마토,30,44.7,4.6,2.9,0.5,2.3,0.5,0.3
SALADY & SANDWICH (대상매장),VEGGIES,당근라페,40,27.7,4.1,3.7,0.5,1.1,0.2,44.1
